PV_Production,T2M,T2M_MAX,T2M_MIN,WS2M,PRECTOTCORR,RH2M,ALLSKY_KT,ALLSKY_SFC_SW_DNI,CLRSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,CLRSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_LW_DWN,CLRSKY_SFC_LW_DWN,ALLSKY_SFC_LW_UP,CLRSKY_SFC_LW_UP
12.47,21.63,26.91,17.34,3.01,0.07,71.32,0.7,30.13,33.16,7.07,5.88,28.55,29.41,30.16,29.81,38.3,38.29
14.41,21.61,26.07,17.63,2.66,0.03,70.74,0.69,28.71,34.45,6.93,5.48,28.3,29.74,30.78,29.77,38.65,38.63
13.14,21.61,26.07,17.79,3.21,0.11,74.88,0.71,33.13,34.45,5.45,5.45,29.33,29.97,30.42,29.86,38.13,38.12
16.56,21.72,25.78,18.85,3.2,0.56,76.08,0.61,23.78,29.82,8.3,7.3,25.03,28.76,31.72,30.68,38.67,38.65
9.39,21.69,25.98,18.55,2.46,0.43,74.26,0.67,23.83,28.58,8.34,7.62,27.43,28.8,32.21,30.87,38.8,38.76
10.06,22.46,27.43,18.82,1.82,0.81,79.01,0.4,1.44,23.57,12.89,9.8,16.36,27.19,34.3,32.56,37.71,37.67
12.81,24.2,29.35,20.25,2.66,0.38,70.18,0.54,16.56,32.33,10.94,5.96,22.47,29.1,34.72,32.62,38.67,38.62
10.9,22.76,26.54,19.92,4.26,1.22,77.25,0.51,12.4,35.93,12.35,4.85,21.12,29.89,33.38,31.78,37.46,37.42
18.16,21.96,26.1,18.14,3.45,0.21,73.5,0.55,14.89,33.41,11.74,6.08,22.61,29.66,32.01,30.37,38.14,38.1
20.44,21.81,26.13,18.79,2.95,0.22,70.98,0.6,21.77,31.81,8.97,6.51,24.98,29.45,32.13,30.57,38.51,38.47
15.71,22.21,26.77,18.74,2.72,0.15,71.26,0.72,34.75,34.22,4.87,5.61,29.8,29.92,30.21,30.16,39.44,39.44
17.26,21.92,26.13,18.75,2.88,0.09,70.46,0.71,34.38,35.03,5.14,5.32,29.49,29.95,30.24,30.12,38.94,38.94
12.86,21.93,26.13,19.06,3.66,0.25,70.5,0.61,25.2,37.38,8.1,4.17,25.06,30.32,31.77,30.01,37.14,37.09
19.26,22.24,27.13,18.78,4.27,0.2,69.47,0.73,37.42,38.65,4.06,3.95,30.28,30.71,30.36,30.02,38.83,38.82
20.86,23.96,29.79,19.1,3.08,0.02,71.21,0.73,36.75,36.82,4.36,4.62,30.23,30.41,30.81,30.73,39.51,39.51
17.63,25.2,30.98,20.54,2.47,0.01,72.68,0.71,33.39,32.74,5.28,6.08,29.51,29.6,31.86,31.74,40.88,40.88
22.68,24.97,30.68,20.73,3.52,0.03,73.28,0.7,30.37,30.95,6.29,6.71,28.94,29.23,32.5,32.24,40.33,40.32
19.75,23.46,27.75,20.55,3.8,0.02,71.92,0.67,27.44,33.88,7.69,5.45,27.88,29.66,32.34,31.51,40.03,40.01
